Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company have an internal price of carbon?
Sempra Energy,United States of America,USA,Electricity Utilities,No,large,US8168511090,2138158,01/07/2018,05/12/2017,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,No,Yes
Severstal,Russia,RUS,Steel,Yes,large,RU0009046510,B5B9C59,01/09/2018,28/04/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Shandong Chenming,China,CHN,Paper,No,medium,CNE100000BK2,6801832,01/11/2018,15/09/2017,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Shougang Fushan Resources,Hong Kong,HKG,Coal Mining,No,medium,HK0639031506,6354671,01/07/2018,22/08/2017,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Shree Cements,India,IND,Cement,No,large,INE070A01015,6100357,01/09/2018,31/10/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,Yes
Siam Cement,Thailand,THA,Cement,No,large,TH0003010Z04,6609917,01/09/2018,19/04/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,No,No,No,No
Siemens,Germany,DEU,Other Industrials,Yes,large,DE0007236101,5727973,01/12/2018,17/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Singapore Airlines,Singapore,SGP,Airlines,No,large,SG1V61937297,6811734,01/02/2019,05/05/2018,1,new,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Not applicable,No,No,No,No,No
South32 (Aluminium),Australia,AUS,Aluminium,Yes,large,AU000000S320,BWSW5D9,01/07/2018,04/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,No
South32 (Coal Mining),Australia,AUS,Coal Mining,Yes,large,AU000000S320,BWSW5D9,01/07/2018,04/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Southern Company,United States of America,USA,Electricity Utilities,Yes,large,US8425871071,2829601,01/07/2018,27/12/2017,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Not applicable,No,Yes,No,No,No
Southern Copper,United States of America,USA,Diversified Mining,No,large,US84265V1052,2823777,01/12/2018,04/12/2017,2,new,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No
Southwest,United States of America,USA,Airlines,No,large,US8447411088,2831543,01/02/2019,21/03/2018,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Not applicable,No,No,No,No,No
St Gobain,France,FRA,Other Industrials,Yes,large,FR0000125007,7380482,01/12/2018,12/05/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
Steel Dynamics,United States of America,USA,Steel,No,medium,US8581191009,2849472,01/09/2018,15/11/2017,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Stora Enso,Finland,FIN,Paper,No,medium,FI0009005961,5072673,01/11/2018,21/11/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
Subaru,Japan,JPN,Autos,No,large,"JP3814800003, JP3399750003",6356406,01/11/2018,05/05/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No
Sumitomo Osaka Cement,Japan,JPN,Cement,No,medium,JP3400900001,6858548,01/09/2018,05/02/2018,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Suzano,Brazil,BRA,Paper,Yes,large,BRSUZBACNOR0,B02GKC7,01/11/2018,04/01/2018,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No
Suzuki,Japan,JPN,Autos,Yes,large,"JP3397200001, JP3397210000",6865504,01/11/2018,23/04/2018,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
TATNEFT,Russia,RUS,Oil & Gas,No,large,RU0009033591,B59BXN2,01/07/2018,04/05/2018,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TC Energy,Canada,CAN,Oil & Gas Distribution,Yes,large,CA89353D1078,2665184,01/12/2018,26/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
Taiheiyo Cement,Japan,JPN,Cement,No,medium,JP3449020001,6660204,01/09/2018,05/05/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not applicable,Yes,No,No,No,No
Taiwan Cement,Taiwan,TWN,Cement,No,large,TW0001101004,6869937,01/09/2018,04/04/2018,1,down,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No
Tata Steel,India,IND,Steel,No,large,INE081A01012,6101156,01/09/2018,07/03/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,Yes,Yes,Yes
