Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company have an internal price of carbon?
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2018,18/10/2017,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/12/2018,25/01/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7,BSS7GP5,01/07/2018,04/05/2018,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/02/2019,09/04/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244508,4253048,01/12/2018,09/01/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2018,19/01/2018,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,Yes,No,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/07/2018,04/05/2018,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/07/2018,23/03/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
Air China,China,CHN,Airlines,No,large,CNE1000001S0,B04KNF1,01/02/2019,16/04/2018,1,new,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/12/2018,20/10/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/12/2018,06/03/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/02/2019,09/01/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Not applicable,Yes,Yes,No,No,No
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2019,05/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/07/2018,04/05/2018,2,new,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Not applicable,Yes,Yes,Yes,No,No
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2019,05/05/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/09/2018,19/04/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/07/2018,20/09/2017,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not applicable,No,Yes,No,No,Yes
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/02/2019,20/03/2018,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Not applicable,No,No,No,Yes,No
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/07/2018,04/05/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
Anadarko Petroleum,United States of America,USA,Oil & Gas,No,large,US0325111070,2032380,01/07/2018,27/04/2018,2,up,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
Andeavor,United States of America,USA,Oil & Gas,No,medium,US03349M1053,"",01/07/2018,04/05/2018,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Anglo American (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,GB00B1XZS820,B1XZS82,01/07/2018,14/09/2017,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anhui Conch Cement,China,CHN,Cement,Yes,large,"CNE1000001W2, CNE0000019V8",6080396,01/09/2018,15/09/2017,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Apache,United States of America,USA,Oil & Gas,No,medium,US0374111054,2043962,01/07/2018,07/02/2018,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Arcelor Mittal,Netherlands,NLD,Steel,Yes,large,LU1598757687,BYPBS67,01/09/2018,29/01/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Arconic,United States of America,USA,Aluminium,No,medium,US03965L1008,BD3D9G5,01/02/2019,05/05/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Asia Cement,Taiwan,TWN,Cement,No,large,"TW0001102002, KR7183190008",6056331,01/09/2018,16/04/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,Yes,No,No
BASF,Germany,DEU,Chemicals,Yes,large,DE000BASF111,5086577,01/12/2018,28/04/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
BHP (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,"GB00BH0P3Z91, GB0000566504",BH0P3Z9,01/07/2018,22/03/2018,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,Germany,DEU,Autos,Yes,large,DE0005190003,5756029,01/11/2018,18/10/2017,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
BP,United Kingdom,GBR,Oil & Gas,Yes,large,GB0007980591,798059,01/07/2018,08/05/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Banpu,Thailand,THA,Coal Mining,No,medium,TH0148A10Z06,BJFHBV6,01/07/2018,27/04/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Bayer,Germany,DEU,Services,Yes,large,DE000BAY0017,5069211,01/12/2018,08/11/2017,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No
Berkshire Hathaway (Services),United States of America,USA,Services,Yes,large,US0846701086,2093666,01/12/2018,03/10/2017,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Bluescope Steel,Australia,AUS,Steel,Yes,large,AU000000BSL0,6533232,01/09/2018,05/05/2018,1,down,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Not applicable,No,Yes,No,No,No
Boeing,United States of America,USA,Other Industrials,Yes,large,US0970231058,2108601,01/12/2018,30/10/2017,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No
Boral,Australia,AUS,Cement,Yes,large,AU000000BLD2,6218670,01/09/2018,19/04/2018,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Not applicable,No,No,No,No,No
Brilliance,China,CHN,Autos,No,large,BMG1368B1028,6181482,01/11/2018,26/10/2017,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bukit Asam,Indonesia,IDN,Coal Mining,No,medium,ID1000094006,6565127,01/07/2018,26/09/2017,1,down,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Bunge,United States of America,USA,Consumer Goods,Yes,medium,BMG169621056,2788713,01/12/2018,03/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,No,No,No,No
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/12/2018,24/04/2018,1,new,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Not applicable,Yes,No,Yes,No,No
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/07/2018,04/05/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
CMPC,Chile,CHL,Paper,No,large,CL0000001314,2196015,01/11/2018,04/01/2018,2,down,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not applicable,No,No,Yes,No,No
CMS Energy,United States of America,USA,Electricity Utilities,No,medium,US1258961002,2219224,01/07/2018,09/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
CNOOC,China,CHN,Oil & Gas,Yes,large,HK0883013259,B00G0S5,01/07/2018,28/09/2017,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
CRH,United Kingdom,GBR,Cement,Yes,large,"IE0001827041, US12626K2033",182704,01/09/2018,05/05/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Canadian Natural Resources,Canada,CAN,Oil & Gas,Yes,large,CA1363851017,2171573,01/07/2018,08/05/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
Caterpillar,United States of America,USA,Other Industrials,Yes,large,US1491231015,2180201,01/12/2018,24/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
Cemex,Mexico,MEX,Cement,Yes,large,"MXP225611567, EST01PA00013, US1512908898",2406457,01/09/2018,09/01/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes
Cenovus Energy,Canada,CAN,Oil & Gas,No,medium,CA15135U1093,B57FG04,01/07/2018,04/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
CenterPoint Energy,United States of America,USA,Electricity Utilities,No,medium,US15189T1079,2440637,01/07/2018,27/09/2017,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
Centrica,United Kingdom,GBR,Oil & Gas Distribution,Yes,medium,GB00B033F229,B033F22,01/12/2018,27/03/2018,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes
Chalco,China,CHN,Aluminium,No,large,"CNE1000001T8,CNE1000000T0",6425395,01/02/2019,15/09/2017,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Chevron,United States of America,USA,Oil & Gas,Yes,large,US1667641005,2838555,01/07/2018,05/12/2017,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
China National Building Materials,China,CHN,Cement,No,large,CNE1000002N9,B0Y91C1,01/09/2018,05/01/2018,1,up,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
China Petroleum & Chemical,China,CHN,Oil & Gas,Yes,large,CNE1000002Q2,6291819,01/07/2018,04/05/2018,2,new,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
China Resources Cement,China,CHN,Cement,No,large,KYG2113L1068,B41XC98,01/09/2018,15/09/2017,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
China Shenhua Energy,China,CHN,Coal Mining,Yes,large,CNE1000002R0,B09N7M0,01/07/2018,08/05/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
China Southern,China,CHN,Airlines,No,large,CNE1000002T6,6013693,01/02/2019,21/02/2018,1,new,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Not applicable,No,No,No,No,No
China Steel,Taiwan,TWN,Steel,Yes,large,TW0002002003,6190950,01/09/2018,18/05/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No
China Zhongwang,China,CHN,Aluminium,No,medium,KYG215AT1023,B3VZ220,01/02/2019,16/04/2018,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Chubu Electric Power,Japan,JPN,Electricity Utilities,No,large,JP3526600006,6195609,01/07/2018,03/04/2018,1,new,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No
Coal India,India,IND,Coal Mining,Yes,large,INE522F01014,B4Z9XF5,01/07/2018,16/04/2018,1,down,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Coca-Cola,United States of America,USA,Consumer Goods,Yes,large,US1912161007,2206657,01/12/2018,05/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Colgate-Palmolive,United States of America,USA,Consumer Goods,Yes,large,US1941621039,2209106,01/12/2018,19/09/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Con Edison,United States of America,USA,Electricity Utilities,No,large,US2091151041,2216850,01/07/2018,10/01/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Concho Resources,United States of America,USA,Oil & Gas,No,medium,US20605P1012,B1YWRK7,01/07/2018,19/09/2017,1,unchanged,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
ConocoPhillips,United States of America,USA,Oil & Gas,Yes,large,US20825C1045,2685717,01/07/2018,04/05/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Cummins,United States of America,USA,Other Industrials,Yes,large,US2310211063,2240202,01/12/2018,24/04/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/07/2018,14/09/2017,1,up,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/07/2018,01/11/2017,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Daikin Industries,Japan,JPN,Other Industrials,Yes,large,JP3481800005,6250724,01/12/2018,28/04/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/11/2018,27/12/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/11/2018,07/06/2018,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Danone,France,FRA,Consumer Goods,Yes,large,FR0000120644,B1Y9TB3,01/12/2018,05/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes
Delta Air Lines,United States of America,USA,Airlines,Yes,large,US2473617023,B1W9D46,01/02/2019,05/05/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/07/2018,27/03/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
Diamondback Energy,United States of America,USA,Oil & Gas,No,medium,US25278X1090,B7Y8YR3,01/07/2018,17/09/2017,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/07/2018,04/05/2018,2,up,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Not applicable,Yes,Yes,Yes,No,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/11/2018,04/12/2017,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Duke Energy,United States of America,USA,Electricity Utilities,Yes,large,US26441C2044,B7VD3F2,01/07/2018,19/04/2018,2,new,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
E.ON,Germany,DEU,Electricity Utilities,Yes,large,DE000ENAG999,4942904,01/07/2018,04/03/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes
EDF,France,FRA,Electricity Utilities,Yes,large,FR0010242511,B0NJJ17,01/07/2018,29/03/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/07/2018,28/09/2017,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Eagle Materials,United States of America,USA,Cement,No,small,US26969P1084,2191399,01/09/2018,23/05/2018,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Easyjet,United Kingdom,GBR,Airlines,No,medium,GB00B7KR2P84,B7KR2P8,01/02/2019,05/05/2018,2,new,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Ecopetrol,Colombia,COL,Oil & Gas,Yes,large,COC04PA00016,B2473N4,01/07/2018,04/05/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
Edison International,United States of America,USA,Electricity Utilities,No,medium,US2810201077,2829515,01/07/2018,14/12/2017,1,unchanged,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Not applicable,No,Yes,No,No,No
Enbridge,Canada,CAN,Oil & Gas Distribution,Yes,large,CA29250N1050,2466149,01/12/2018,05/05/2018,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
Ence Energia y Celulosa,Spain,ESP,Paper,No,small,ES0130625512,B1W7BK2,01/11/2018,04/01/2018,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/07/2018,31/01/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes
Eneos (Oil & Gas),Japan,JPN,Oil & Gas,Yes,large,JP3386450005,B627LW9,01/07/2018,15/02/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No
Engie,France,FRA,Electricity Utilities,Yes,large,FR0010208488,B0C2CQ3,01/07/2018,31/12/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Eni,Italy,ITA,Oil & Gas,Yes,large,IT0003132476,7145056,01/07/2018,13/10/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Entergy,United States of America,USA,Electricity Utilities,No,medium,US29364G1031,2317087,01/07/2018,14/09/2017,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No
Equinor,Norway,NOR,Oil & Gas,Yes,large,NO0010096985,7133608,01/07/2018,04/05/2018,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Erdemir,Turkey,TUR,Steel,No,medium,TRAEREGL91G3,B03MS97,01/09/2018,17/11/2017,1,down,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
Eversource Energy,United States of America,USA,Electricity Utilities,No,medium,US30040W1080,BVVN4Q8,01/07/2018,19/10/2017,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,Yes,Yes,No,No
Evraz,United Kingdom,GBR,Steel,No,medium,GB00B71N6K86,B71N6K8,01/09/2018,19/01/2018,1,new,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Not applicable,No,Yes,No,No,No
Exelon,United States of America,USA,Electricity Utilities,Yes,large,US30161N1019,2670519,01/07/2018,04/05/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes
Exxaro Resources,South Africa,ZAF,Coal Mining,No,medium,ZAE000084992,6418801,01/07/2018,27/04/2018,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Exxon Mobil,United States of America,USA,Oil & Gas,Yes,large,US30231G1022,2326618,01/07/2018,04/05/2018,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
Ferrari,Italy,ITA,Autos,No,large,NL0011585146,BD6G507,01/11/2018,26/10/2017,1,new,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Fiat Chrysler,Italy,ITA,Autos,Yes,large,NL0010877643,BRJFWP3,01/11/2018,26/02/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Fibria,Brazil,BRA,Paper,No,large,BRFIBRACNOR9,,01/11/2018,06/12/2017,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,Yes
Firstenergy,United States of America,USA,Electricity Utilities,Yes,medium,US3379321074,2100920,01/07/2018,20/02/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No
Fletcher Building,New Zealand,NZL,Cement,No,medium,NZFBUE0001S0,6341606,01/09/2018,08/02/2018,2,up,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No
Ford,United States of America,USA,Autos,Yes,large,US3453708600,2615468,01/11/2018,14/12/2017,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Formosa Petrochemical,Taiwan,TWN,Oil & Gas,Yes,large,TW0006505001,6718716,01/07/2018,04/05/2018,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Fortis,Canada,CAN,Electricity Utilities,No,medium,CA3495531079,2347200,01/07/2018,21/09/2017,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
Fortum,Finland,FIN,Electricity Utilities,Yes,large,FI0009007132,5579550,01/07/2018,24/10/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No
Gazprom,Russia,RUS,Oil & Gas,Yes,large,RU0007661625,B59L4L7,01/07/2018,08/05/2018,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
Geely,China,CHN,Autos,No,large,KYG3777B1032,6531827,01/11/2018,24/10/2017,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
General Electric,United States of America,USA,Other Industrials,Yes,large,US3696041033,2380498,01/12/2018,01/05/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,No,Yes,No
General Motors,United States of America,USA,Autos,Yes,large,US37045V1008,B665KZ5,01/11/2018,15/12/2017,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
Gerdau,Brazil,BRA,Steel,No,large,"BRGGBRACNPR8,BRGGBRACNOR1",2645443,01/09/2018,10/11/2017,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No
