Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/02/2021,29/09/2019,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Not applicable,Yes,Yes,No,No,No,No
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/10/2020,19/07/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2019,26/09/2018,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/10/2020,12/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/09/2019,27/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,"AU000000AGL7, AU000000AGK9","BSS7GP5, BQ6Q917",01/10/2020,21/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,"AU000000AGL7, AU000000AGK9","BSS7GP5, BQ6Q917",01/09/2019,21/08/2018,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2020,22/11/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,Yes,No,No,No
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2019,17/01/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
ANTAM,Indonesia,IDN,Coal Mining,Yes,small,ID1000106602,6053859,01/10/2020,31/03/2020,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ANTAM,Indonesia,IDN,Coal Mining,Yes,small,ID1000106602,6053859,01/09/2019,02/04/2019,1,new,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,"DK0010244425, DK0010244508","4253059, 4253048",01/10/2020,03/09/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,Yes,No,No,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,"DK0010244425, DK0010244508","4253059, 4253048",01/09/2019,28/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No,No
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/10/2020,23/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/09/2019,01/03/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2021,05/12/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,Yes,Yes,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2020,02/04/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,No,No,No,No
Adani Enterprises,India,IND,Coal Mining,No,medium,INE423A01024,B01VRK0,01/10/2020,04/02/2020,1,new,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/10/2020,26/11/2019,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/09/2019,26/03/2019,0,down,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/10/2020,26/02/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/09/2019,31/10/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/12/2020,31/03/2020,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Air China,China,CHN,Airlines,No,large,"CNE1000001S0, CNE000001NN0","B04KNF1, B1B8WM5, BP3R4G6",01/12/2020,31/03/2020,1,unchanged,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Air China,China,CHN,Airlines,No,large,"CNE1000001S0, CNE000001NN0","B04KNF1, B1B8WM5, BP3R4G6",01/12/2019,31/03/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/10/2020,10/10/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/09/2019,25/02/2019,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,Yes,No
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/10/2020,21/11/2019,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/09/2019,31/10/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,Yes,No
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/02/2021,20/02/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,No,No,Yes
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/02/2020,23/04/2019,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,Yes
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/10/2020,10/10/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/09/2019,22/01/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Akzo Nobel,Netherlands,NLD,Chemicals,No,large,NL0013267909,BJ2KSG2,01/02/2021,16/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not applicable,Yes,No,No,No,No,No
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/12/2020,31/10/2019,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/12/2019,02/10/2018,1,down,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2021,31/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,No,No,No,No
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2020,23/04/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/10/2020,23/02/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Not applicable,Yes,No,No,No,No,No
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/10/2020,03/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Not applicable,Yes,Yes,No,No,No,No
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/09/2019,22/02/2019,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Not applicable,Yes,No,Yes,No,No,No
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2021,15/10/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,No,No,No,No
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2020,23/04/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,No,No,No,No
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/02/2021,24/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/02/2020,15/11/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/10/2020,08/01/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,Yes,No,No,No,Yes,No
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/09/2019,31/10/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,Yes,No,No,No,Yes,No
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/10/2020,03/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,Yes,No,No,No
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/09/2019,25/02/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Not applicable,No,No,Yes,No,No,No
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/09/2019,21/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Anadarko Petroleum,United States of America,USA,Oil & Gas,No,large,US0325111070,2032380,01/09/2019,31/10/2018,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Anglo American (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,GB00B1XZS820,"B1XZS82, B1YW0L9",01/10/2020,02/08/2019,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anglo American (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,GB00B1XZS820,"B1XZS82, B1YW0L9",01/09/2019,07/06/2019,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Anglo American (Diversified mining),United Kingdom,GBR,Diversified Mining,Yes,large,GB00B1XZS820,"B1XZS82, B1YW0L9",01/10/2020,02/08/2019,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
